fecha,dormido,minutos-despierto,veces-despertado
2015-12-08,395,31,18
2015-12-09,438,21,13
2015-12-10,298,37,24
2015-12-11,410,36,22
2015-12-12,485,84,38
2015-12-13,472,37,23
2015-12-14,469,53,27
2015-12-15,375,29,23
2015-12-16,516,68,37
2015-12-17,386,48,23
2015-12-18,413,31,20
2015-12-19,229,21,13
2015-12-21,315,46,18
2015-12-22,494,49,27
2015-12-23,444,61,32
2015-12-24,500,79,40
2015-12-25,274,21,15
2015-12-26,426,43,21
2015-12-29,342,34,16
2015-12-30,430,59,27
2015-12-31,331,18,10
2016-01-01,191,31,13
2016-01-02,518,32,26
2016-01-03,437,26,12
2016-01-04,430,65,29
2016-01-05,501,40,15
2016-01-06,392,33,19
2016-01-07,389,41,16
2016-01-08,318,47,22
2016-01-09,181,9,4
2016-01-10,439,39,27
2016-01-12,392,50,28
2016-01-13,412,36,21
2016-01-14,458,30,19
2016-01-15,482,63,32
2016-01-16,365,38,25
2016-01-17,367,23,11
2016-01-18,448,49,25
2016-01-19,418,74,25
2016-01-20,405,45,23
2016-01-22,355,54,25
2016-01-23,374,35,17
2016-01-24,435,65,22
2016-01-25,407,55,25
2016-01-26,250,31,13
2016-01-27,501,59,34
2016-01-28,421,41,26
2016-01-29,393,44,20
2016-01-30,424,28,12
2016-01-31,356,28,20
2016-03-01,360,53,27
2016-03-02,356,26,20
2016-03-03,418,28,13
2016-03-04,384,31,19
2016-03-05,278,15,10
2016-03-07,512,44,24
2016-03-08,430,52,31
2016-03-09,423,70,38
2016-03-10,434,44,26
2016-03-11,391,37,21
2016-03-12,429,50,28
2016-03-13,519,48,23
2016-03-14,419,49,22
2016-03-15,383,45,18
2016-03-16,386,36,21
2016-03-17,390,42,23
2016-03-18,380,43,24
2016-03-19,414,61,30
2016-03-20,391,53,22
2016-03-21,348,43,23
2016-03-22,382,46,26
2016-03-23,349,32,17
2016-03-24,343,42,19
2016-03-25,355,34,17
2016-03-26,431,35,19
2016-03-27,389,48,24
2016-03-28,441,58,32
2016-03-29,332,31,15
2016-03-30,349,38,20
2016-03-31,388,58,19
2016-02-01,278,40,20
2016-02-02,415,64,32
2016-02-03,552,37,17
2016-02-04,392,29,18
2016-02-05,466,35,22
2016-02-06,372,44,19
2016-02-07,463,52,22
2016-02-08,478,61,30
2016-02-09,287,43,26
2016-02-10,395,22,15
2016-02-11,399,29,20
2016-02-12,350,30,20
2016-02-13,395,36,22
2016-02-14,461,39,25
2016-02-15,359,32,19
2016-02-16,458,60,30
2016-02-17,390,36,22
2016-02-18,436,28,16
2016-02-19,266,42,24
2016-02-20,361,42,23
2016-02-21,390,44,21
2016-02-22,360,22,21
2016-02-23,378,44,20
2016-02-24,492,30,14
2016-02-25,366,62,29
2016-02-26,366,46,19
2016-02-27,407,55,20
2016-02-28,454,32,12
2016-02-29,332,41,21
